Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
17,MBBS,Andhra Pradesh,"Government Medical College, Rajamahendravaram",Dr. YSR University of Health Sciences,Govt.,2023,150,"Permitted u/s 26 (1) (b) (c), (d) 28 (1) (2) (3) and 61 (2) of NMC Act. 2019.",15-06-2023
18,MBBS,Andhra Pradesh,"Government Medical College, Vizianagaram",Dr. YSR University of Health Sciences,Govt.,2023,150,"Permitted  u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",21-04-2023
19,MBBS,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,175,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after February, 2017. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
20,MBBS,Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Dr. YSR University of Health Sciences,Trust,2010,150,"Recognized for 100 seats when degree granted on or after February, 2015. Granted renewal of permission with increase in seats from 100 to 150 u/s 10(A) for 2020-21 & there after. Continuation of recognition granted when degree awarded on or after 2015-2016 & on or after 2016-2017. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",12-07-2010
21,MBBS,Andhra Pradesh,"GSL Medical College, Rajahmundry",Dr. YSR University of Health Sciences,Trust,2002,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 200 when degree granted on or after February, 2019. Increase of 50 MBBS seats have been permitted during AY 2022-2023. Permitted for 2nd batch (1st renweal) of 200-250 seats for the academic year 2023-24",N/A
22,MBBS,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 200 when degree granted on or after February, 2018. Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
23,MBBS,Andhra Pradesh,"Katuri Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2002,150,Recognized Continuations of recognition permitted for 150 seats upto academic year 2021-22. renewal of permission granted for intake of 150 seats for 2021-22.,N/A
24,MBBS,Andhra Pradesh,"Konaseema Institute of Medical Sciences & Research Foundation, Amalapuram","Kaloji Narayana Rao University of Health Sciences, Warangal",Trust,2005,150,Recognized for the award of MBBS degree to 150 students annually when degree granted upto 2021-22. Permission for granting admission to 150 students renewed for 2021-22.,19-04-2005
25,MBBS,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,250,Recognized for 150 seats. Recognised for increase of seats from 150 to 200. when degree awarded on or after 2017. Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
26,MBBS,Andhra Pradesh,"Maharajah Institute of Medical Sciences, Vizianagaram",Dr. YSR University of Health Sciences,Trust,2002,200,"Recognized for 100 seats when degree granted on or after Apr2008. Recognized for increase of seats from 100 to 150 when degree granted on or after February 2017. Permitted for increase of 50 MBBS seats u/s 26(1)(b)(c),(d), 28(1)(2)(3) & 29 and section 61(2) of the NMC Act, 2019 during academic year 2023-2024. COR granted for one(01) year for 2022-23 only.",N/A
27,MBBS,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 250 when degree granted on or after February, 2019.",N/A
28,MBBS,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist., A.P.",Dr. YSR University of Health Sciences,Society,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,20-08-2016
29,MBBS,Andhra Pradesh,"NRI Institute of Medical Sciences, Visakhapatnam",Dr. YSR University of Health Sciences,Trust,2012,150,"Recognized when degree granted on or after February, 2017. COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",26-06-2012
30,MBBS,Andhra Pradesh,"NRI Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2003,200,"Recognized for 150 seats when degree granted on or after April,2008. Permitted for renewal of permission for increase of seats from 150 to 200 u/s 10(A) for 2020-21, Recognized for 150 seats when degree granted on or after April,2008. Permitted for renewal of permission for increase of seats from 150 to 200 u/s 10(A) for 2020-21. Permitted for Renewal of 150-200 seats for the academic year 2022-23. COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
31,MBBS,Andhra Pradesh,"P E S Institute Of Medical Sciences and Research, Kuppam",Dr. YSR University of Health Sciences,Trust,2001,150,Recognized for the award of MBBS degree to 150 students till 2022-23. COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
32,MBBS,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,150,"Recognized Recognized when degree granted on or after February, 2013. Permitted for renewal of permission for increase of seats from 100 to 150 u/s 10(A) for 2021-21. Permitted for Renewal of 100-150 seats for the academic year 2022-23.",14-07-2008
33,MBBS,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 200 when degree granted on or after February, 2018. Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
34,MBBS,Andhra Pradesh,"Santhiram Medical College, Nandyal",Dr. YSR University of Health Sciences,Trust,2005,150,"Recognized Renewal of continuation of recognition for annual intake of 100 seats up to year 2021-22. Permission for annual intake of 100 MBBS students for academic year 2021-22, Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted for 3rd batch ( 2nd renewal) of 100-150 seats for the academic year 2023-24. Continuation of Recognition granted upto year 2022-23.",N/A
35,MBBS,Andhra Pradesh,"Sri Balaji Medical College, Hospital and Research Institute, Chittoor",Dr. YSR University of Health Sciences,Trust,,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",29-09-2022
36,MBBS,Andhra Pradesh,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,2014,175,"Recognized for 150 seats when degree granted on or after January, 2019. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20.",08-08-2014
37,MBBS,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,240,"Recognized for 150 seats. Recognized for increase of seats from 150 to 200 when degree granted on or after February, 2018. Permitted for increase of seats from 200 to 240 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
38,MBBS,Andhra Pradesh,"Viswabharathi Medical College, Kurnool",Dr. YSR University of Health Sciences,Society,2014,150,"Recognized when degree granted on or after February,2019",02-07-2014
39,MBBS,Arunachal Pradesh,"Tomo Riba Institute of Health & Medical Sciences, Naharlagun",Rajiv Gandhi University,Govt.,2018,50,"Permitted for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 50 seats for the academic year 2022-23. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",25-05-2018
40,MBBS,Assam,"All India Institute of Medical Sciences, Guwahati","Statutory Autonomous, AIIMS (Guwahati)",Govt.,,50,Other ,N/A
41,MBBS,Assam,"Assam Medial College, Dibrugarh",Srimanta Shankardeva University of Health Sciences,Govt.,1947,200,"Recognized  (Previously under Dibrugarh University) for 170 seats. Continuation of recognition granted when degree awarded upto 2016-17, till 2021-22. Permitted for increase of seats from 170 to 200 under EWS quota (103rd constitution amendment) for 2019-20 and continued till 2021-22.",N/A
42,MBBS,Assam,"Dhubri Medical College, Dhubri",Srimanta Shankardeva University of Health Sciences,Govt.,,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",23-08-2022
43,MBBS,Assam,"Diphu Medical College & Hospital, Diphu, Assam",Srimanta Shankardeva University of Health Sciences,Govt.,2020,100,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",17-03-2020
44,MBBS,Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam",Srimanta Shankardeva University of Health Sciences,Govt-Society,2012,125,"Recognized for 100 seats when degree granted on or after December, 2016. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",15-06-2012
45,MBBS,Assam,"Gauhati Medical College, Guwahati",Srimanta Shankardeva University of Health Sciences,Govt.,1960,200,Recognized for 156 seats. (Previously under Gauhati University). Permitted for increase of seats from 156 to 200 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
46,MBBS,Assam,"Jorhat Medical College & Hospital , Jorhat",Srimanta Shankardeva University of Health Sciences,Govt.,2010,125,"Recognized for 100 seats when degree granted on or after December, 2014. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20. continuation of recognition granted for annual intake of 100 MBBS seats when degree granted upto 2021-22. Permitted for admission of 100 seats for academic year 2021-22.",N/A
47,MBBS,Assam,Kokrajhar Medical College,Srimanta Shankardeva University of Health Sciences,Govt.,2023,100,"Permitted  for 100 MBBS seats under u/s 26(1) (a) (b) and 28 (1) (2) of NMC Act, 2019.",22-02-2023
48,MBBS,Assam,Lakhimpur Medical College,Srimanta Shankardeva University of Health Sciences,Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
49,MBBS,Assam,Nagaon Medical College,Srimanta Shankardeva University of Health Sciences,Govt.,2023,100,"Permitted for 100 MBBS seats u/s 26(1) (a) (b) & 28(1) (2) of NMC Act, 2019 during A/Y 2023-2024.",27-02-2023
50,MBBS,Assam,"Nalbari Medical College, Nalbari",Srimanta Shankardeva University of Health Sciences,Govt.,2023,100,"Permitted  u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",09-05-2023
51,MBBS,Assam,"Silchar Medical College, Silchar",Srimanta Shankardeva University of Health Sciences,Govt.,1968,125,Recognized for 100 seats. (Previously under Assam University). Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20. (Previously under Assam University) recognized for the award of MBBS degree to 100 students annually when degree granted on or after 2019.,N/A
52,MBBS,Assam,"Tezpur Medical College & Hospital, Tezpur",Srimanta Shankardeva University of Health Sciences,Govt.,2014,125,"Recognized for 100 seats when degree granted on or after December,2018. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20.",21-07-2014
53,MBBS,Bihar,"All India Institute of Medical Sciences, Patna","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2012,125,"Recognized  vide letter dated 18.09.2017 from MOH&FW,GOI.",N/A
54,MBBS,Bihar,"Anugrah Narayan Magadh Medical College, Gaya","Aryabhatta Knowledge University, Patna",Govt.,1970,120,"Recognized for 50 seats when degree granted on or after 06.09.2011.(Prev. under Magadh Univ.). Recognized for increase of seats from 50 to 100 when degree granted on or after January,2018. Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
55,MBBS,Bihar,"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri (Formely known as Vardhman Institute of Medical Sciences, Pawapuri)","Aryabhatta Knowledge University, Patna",Govt.,2013,120,"Recognized for 100 seats for the batches admitted in 2013-14, 2014-15, 2015-16 and 2016-17. Permitted to admit 100 students in 2017-'18. Not permitted to admit students in 2018-'19. Granted permission to admit fresh batch in 2019-20 with increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) and continued till 2021-'22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",02-07-2013
56,MBBS,Bihar,"Darbhanga Medical College, Lehriasarai","Aryabhatta Knowledge University, Patna",Govt.,1946,120,"Recognized for 90 seats when degree granted on or after 06.09.2011. (Prev. under LN Mithila University). Recognized for increase of seats from 90 to 100 when degree granted on or after January,2018. Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20.",N/A
57,MBBS,Bihar,"Employees State Insurance Corporation Medical College,Patna","Aryabhatta Knowledge University, Patna",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",11-10-2021
58,MBBS,Bihar,"Government Medical College, Bettiah","Aryabhatta Knowledge University, Patna",Govt.,2013,120,Recognized for 100 seats in respect students admitted in the academic years 2013-14 and 2014-15 only. Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20.,15-07-2013
59,MBBS,Bihar,"Government Medical College, Purnea","Aryabhatta Knowledge University, Patna",Govt.,2023,100,"Permitted u/s 26 (1) (b) (c), (d) 28 (1) (2) (3) and 61 (2) of NMC Act. 2019.",17-06-2023
60,MBBS,Bihar,"Indira Gandhi Institute of Medical Sciences,Sheikhpura, Patna","Indira Gandhi Instt of Medical Sciences (Deemed University), Patna",Govt.,2011,120,"Recognized for 100 MBBS seats annually upto March, 2027. Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) from the academic session 2019-20.",30-06-2011
61,MBBS,Bihar,"Jannayak Karpoori Thakur Medical College & Hospital, Madhepura, Bihar","Aryabhatta Knowledge University, Patna",Govt.,2020,100,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",15-10-2020
62,MBBS,Bihar,"Jawaharlal Nehru Medical College, Bhagalpur","Aryabhatta Knowledge University, Patna",Govt.,1971,120,"Recognized for 50 seats when degree granted on or after 06.09.2011.(Prev. under Bhagalpur Univ.) Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20. Recognized for increase of seats from 50 to 100 when degree granted on or after February, 2018.",N/A
63,MBBS,Bihar,"Katihar Medical College, Katihar","Al-Karim University, Katihar",Trust,1987,150,"Recognized for 60 seats. Recognised for increase of seats from 60 to 100 when degree granted on or after 2018-19.(Previously Under B N Mandal University, Madhepura i.e. upto 2017-18). Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21. Permitted for Renewal of 100- 150 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",N/A
64,MBBS,Bihar,"Lord Buddha Koshi Medical College and Hospital, Saharsa",B.N. Mandal University,Trust,2019,100,"Permitted  for renewal of permission u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023-2024.",29-05-2019
65,MBBS,Bihar,"Madhubani Medical College, Madhubani","Aryabhatta Knowledge University, Patna",Trust,2019,150,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted for (4th renewal) 5th batch for the Academic Year 2023 -2024.",18-05-2019
66,MBBS,Bihar,"Mata Gujri Memorial Medical College, Kishanganj",B.N. Mandal University,Trust,1990,100,Recognized  for 60 seats. Recognized for increase of seats from 60-100 when granted on or after March 2020.,N/A
67,MBBS,Bihar,"Nalanda Medical College, Patna","Aryabhatta Knowledge University, Patna",Govt.,1970,150,"Recognized for 50 seats when degree granted on or after 06.09.2011..Recognised for increase of seats from 50 to 100. Permitted for increase of seats from 100 to 150 (20 seats permitted under EWS quota, 103rd constitution amendment for 2019-20) u/s 10(A) for 2020-21, Recognized for 50 seats when degree granted on or after 06.09.2011..Recognised for increase of seats from 50 to 100. Permitted for increase of seats from 100 to 150 (20 seats permitted under EWS quota, 103rd constitution amendment for 2019-20) u/s 10(A) for 2020-21. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024. COR granted for one(01) year for 2022-23 only.",N/A
68,MBBS,Bihar,"Narayan Medical College & Hospital, Sasaram",Gopal Narayan Singh University,Trust,2008,250,"Recognized for 100 seats when degree granted on or after February,2014. Granted renewal of permission for increase of seats from 100 to 150 u/s 10(A) from 2019-20 to 2021-22. Continuation of recognition granted when degree awarded on or after 2018-2019 for 100 seats. Permitted for Renewal of 100-150 seats for the academic year 2022-23. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24. Hundred (100) MBBS seats have been increased i.e. 150 to 250 u/s 26 (1) (a( (b), 28 )1) (2) and 61 (2) of NMC Act, 2029 during Academic Year 2023 - 2024.",30-09-2008
69,MBBS,Bihar,"Netaji Subhas Medical College & Hospital, Amhara, Bihta, Patna","Aryabhatta Knowledge University, Patna",Society,2020,100,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted for (3rd renewal) 4th batch for the Academic Year 2023 -2024.",17-03-2020
70,MBBS,Bihar,"Patna Medical College, Patna","Aryabhatta Knowledge University, Patna",Govt.,1925,200,"Recognized for 100 seats when degree granted on or after 06.09.2011.(Prev. under Patna Univ.) Recognized for increase of seats from 100 to 150 when degree granted on or after February,2018. Permitted for increase of seats from 150 to 200 (30 seats permitted under EWS quota, 103rd constitution amendment for 2019-20) u/s 10(A) for 2020-21, Recognized for 100 seats when degree granted on or after 06.09.2011.(Prev. under Patna Univ.) Recognized for increase of seats from 100 to 150 when degree granted on or after February,2018. Permitted for increase of seats from 150 to 200 (30 seats permitted under EWS quota, 103rd constitution amendment for 2019-20) u/s 10(A) for 2020-21. Permitted for Renewal of 150-200 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",N/A
71,MBBS,Bihar,Radha Devi Jageshwari Memorial Medical College and Hospital,"Aryabhatta Knowledge University, Patna",Society,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Lop withdrawal. order of cancellation of admission 150 MBBS students have been in used for the Academic year 2021-22, PermittedÂ u/s 10(A) for 2020-21. Permitted for renewal of 150 seats for the AY 2022-23. Withhold permission of admission for the Academic Year 2023 - 2024.",01-11-2021
72,MBBS,Bihar,Shree Narayan Medical Institute and Hospital,"Bhupendra Narayan Mandal University, Madhepura",Trust,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the academic year 2023-2024.",01-11-2021
73,MBBS,Bihar,"Shri Krishna Medical College, Muzzafarpur","Aryabhatta Knowledge University, Patna",Govt.,1970,120,Recognized for 50 seats when degree granted on or after 06.09.2011. (Previously under Babasaheb Bhimrao Ambedkar Bihar University). Recognized for increase of seats from 50 to 100 for batches admitted from 2013-14 onwards. Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20. Continuation of recognition granted for 100 seats when degree awarded on or after 2016-17. Permission for 100+20 seats ( Under EWS quota) to be admitted in 2021-22.,N/A
74,MBBS,Chandigarh,"Government Medical College, Chandigarh",Punjab University,Govt.,1991,150,"Recognized for 50 seats. Recognised for increase of seats from 50 to 100 when degree granted on or after December,2017. Permitted for 100 to 150 renewal of permission u/s 10(A) for 2020-21, Recognized for 50 seats. Recognised for increase of seats from 50 to 100 when degree granted on or after December,2017. Permitted for 100 to 150 renewal of permission u/s 10(A) for 2020-21. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the academic year 2023-2024.",N/A
75,MBBS,Chattisgarh,"All India Institute of Medical Sciences, Raipur","Statutory Autonomous, AIIMS(Raipur)",Govt.,2012,125,"Recognized vide letter dated 18.09.2017 from MOH &FW ,GOI.",N/A
76,MBBS,Chattisgarh,"Chandulal Chandrakar Memorial Govt. Medical College, Durg","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2013,200,"Recognized in respect of students admitted in the academic year 2013-14 and 2014-15 only, Permitted for increase of seats from 150 to 200 under EWS quota under (103rd constitution amendment) for 2022-23.",15-07-2013
77,MBBS,Chattisgarh,"Chhattisgarh Institute of Medical Sciences, Bilaspur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2001,150,Recognized  for 100 seats when degree awarded on or after 2009-2010 under Ayush and Health science University (Previously under Guru ghasidas University till 16.08.2008). continuation of recognition for 100 seats when degree awarded on or after 2015-16 as well as 2016-2017. Renewal of permission with increase in seats from 100 to 150 granted for admission in 2013-2014. Renewal of recognition with increase in seats from 100 to 150 granted when degree awarded on or after 2020-21. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
78,MBBS,Chattisgarh,"Government Medical College (Bharat Ratna Shri Atal Bihari Vajpyee Memorial Med. Col.), Rajnandgaon","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2014,125,Recognized for 100 seats when degree granted on or after March 2019. Permitted for increase of seats from 100 to 125 under EWS quota (103rd constitution amendment) for 2019-20.,15-07-2014
